"=bp", "BP ", "!?BP", "BP",
"Shell", "!Shell Sek", "Shell",
"Gazprom",
"Rosneft",
"Exxon",
"Lukoil",
"Petrochina",
"Petrobras",
"Chevron",
"Novatek",
"Total", "!Total Re", "!Total Sys", "Total",
"ConocoPhillips",
"Tatneft",
"ONGC",
"ENI", "!?ENI", "ENI"
"Statoil ",
"Sinopec",
"CNOOC ",
"Occidental",
"BG Group",
"Canadian Natural Resources ",
"Anadarko Petroleum ",
"Apache ",
"Chesapeake Energy ",
"Inpex ",
"Bashneft",
"Devon Energy ",
"BHP Billiton",
"Repsol",
"Ecopetrol",
"EOG Resources",
"Suncor Energy ",
"Marathon Oil ",
"Hess ",
"Imperial Oil ",
"Encana ",
"Noble Energy",
"BASF",
"EQT ",
"Range Resources", "!?Range Resources", "Range Resources"
"Continental Resources",
"OMV",
"Antero Resources",
"KazMunaiGas EP",
"YPF ",
"Southwestern Energy ",
"Cenovus Energy ",
"Linn Energy",
"Woodside Petroleum",
"Husky Energy ",
"PTT ",
"Consol Energy ",
"Pioneer Natural Resources ",
"Cabot Oil & Gas ",
"WPX Energy",
"SK Innovation ",
"Whiting Petroleum ",
"Murphy Oil ",
"QEP Resources ",
"Newfield Exploration ",
"Dragon Oil",
"Sasol ",
"Ultra Petroleum ",
"Santos",
"Concho Resources ",
"Denbury Resources ",
"Freeport-McMoRan",
"Maersk Group",
"MEG Energy ",
"SandRidge Energy",
"Crescent Point Energy ",
"GDF SUEZ",
"Pacific Rubiales Energy ",
"SM Energy ",
"JX Holdings ",
"Cimarex Energy ",
"Mitsui & Co ",
"Penn West Petroleum ",
"Polish Oil & Gas",
"=MOL", "MOL ", "MOL",
"Energen ",
"TAQA",
"Oil Search",
"Oil India",
"ARC Resources ",
"Genel Energy ",
"Canadian Oil Sands ",
"Energy XXI",
"PDC Energy",
"Oasis Petroleum ",
"Tourmaline Oil ",
"Rosetta Resources",
"RWE ",
"National Fuel Gas",
"Peyto E&D ",
"Xcite Energy ",
"Tullow Oil",
"Energi Mega Persada ",
"Breitburn Energy Partners",
"Enerplus ",
